	Query strain ID	Array strain ID	P-value	Combined mutant fitness	Combined mutant fitness standard deviation	g1	g2	g3
362953	YJL030W+YDL227C_tm3288	YGL216W_dma1751	0.4086	0.9859	0.2108	YDL227C	YGL216W	YJL030W
142683	YDL227C+YML107C_tm2865	YBR043C_dma207	0.4086	0.7816	0.0363	YBR043C	YDL227C	YML107C
42922	YDL227C+YAL059W_tm2946	YJR050W_dma2630	0.4085	1.003	0.0662	YAL059W	YDL227C	YJR050W
194091	YDL227C+YOR064C_tm2891	YJR053W_dma2650	0.4085	0.8699	0.0388	YDL227C	YJR053W	YOR064C
76826	YDL227C+YGR206W_tm2807	YMR216C_dma3811	0.4085	0.8159	0.0239	YDL227C	YGR206W	YMR216C
59342	YDL227C+YDR363W_tm2820	YFR015C_dma1556	0.4085	0.8546	0.0496	YDL227C	YDR363W	YFR015C
338994	YHR121W+YDL227C_tm3152	YJL053W_dma2482	0.4085	0.786	0.0414	YDL227C	YHR121W	YJL053W
461456	YOL090W+YDL227C_tm3216	YJL053W_dma2482	0.4085	0.7453	0.0632	YDL227C	YJL053W	YOL090W
400794	YLR119W+YDL227C_tm3057	YDR510W_tsa928	0.4084	0.6754	0.0657	YDL227C	YDR510W	YLR119W
26799	YCR008W+YDL227C_tm3155	YKL191W_dma2901	0.4084	0.8193	0.053	YCR008W	YDL227C	YKL191W
394687	YLR021W+YDL227C_tm3348	YLR172C_dma3252	0.4084	0.89	0.0831	YDL227C	YLR021W	YLR172C
44094	YDL227C+YBL041W_tm2790	YKL207W_dma2914	0.4084	0.9592	0.0601	YBL041W	YDL227C	YKL207W
185004	YDL227C+YOR002W_tm2888	YHR142W_dma2174	0.4084	0.9837	0.0337	YDL227C	YHR142W	YOR002W
401874	YLR119W+YDL227C_tm3122	YDR391C_dma1126	0.4084	0.8882	0.081	YDL227C	YDR391C	YLR119W
115032	YDL227C+YKL116C_tm2845	YJL123C_dma2514	0.4084	0.926	0.0416	YDL227C	YJL123C	YKL116C
460900	YOL090W+YDL227C_tm3216	YBL041W_tsa1064	0.4084	0.7802	0.0396	YBL041W	YDL227C	YOL090W
76960	YDL227C+YGR206W_tm2807	YOR109W_dma4528	0.4083	0.8789	0.0778	YDL227C	YGR206W	YOR109W
317625	YGR206W+YDL227C_tm3351	YKL052C_tsa1002	0.4083	0.9595	0.0695	YDL227C	YGR206W	YKL052C
461261	YOL090W+YDL227C_tm3216	YGL086W_dma1666	0.4082	0.8972	0.0529	YDL227C	YGL086W	YOL090W
343584	YHR156C+YDL227C_tm3157	YDR216W_dma973	0.4082	0.9928	0.0458	YDL227C	YDR216W	YHR156C
433244	YMR028W+YDL227C_tm3095	YDL099W_dma691	0.4082	0.8601	0.0273	YDL099W	YDL227C	YMR028W
103814	YDL227C+YJL170C_tm2840	YJR050W_dma2630	0.4082	0.9732	0.0488	YDL227C	YJL170C	YJR050W
335469	YHR119W+YDL227C_tm3287	YDR385W_dma1108	0.4082	0.7648	0.0757	YDL227C	YDR385W	YHR119W
42554	YDL227C+YAL059W_tm2946	YDR363W_dma1100	0.4082	0.8698	0.0432	YAL059W	YDL227C	YDR363W
65636	YDL227C+YER164W_tm2753	YOR085W_dma4524	0.4081	0.7518	0.0498	YDL227C	YER164W	YOR085W
30308	YDL017W+YDL227C_tm3071	YMR070W_dma3680	0.4081	0.8448	0.0374	YDL017W	YDL227C	YMR070W
